id,score,n_hallu,n_object,len,g_mean_hallu,g_mean_object,g_mean_other,s_mean_hallu,s_mean_object,s_mean_other,quadrant_global,quadrant_soft,image_file
376,0.19120295790983488,3,21,153,0.08515870074431102,0.021342425830360817,0.09145871010951505,0.06972034772237141,-0.0085722307775584,0.01112020219749307,sledgehammer,ideal,AMBER_376.jpg
379,0.1102751851536065,3,16,113,-0.042519067763350904,0.08721341025329821,0.0840401792381291,-0.005432851864801099,0.029393544445781572,0.010162522420072723,bad_both,bad_both,AMBER_379.jpg
380,0.2975740326743107,4,8,125,0.11262822058051825,0.07494313499773853,0.028794660790457283,0.03523438796401024,0.003827630396699533,-0.0013098396023258475,sledgehammer,sledgehammer,AMBER_380.jpg
384,0.3682625638995078,6,13,138,0.023628412283187572,0.18669217238605668,0.09863198870268872,0.005810464141916327,0.05846329377695488,0.01851327545703215,sledgehammer,sledgehammer,AMBER_384.jpg
385,0.25290934524155545,4,10,124,0.15505286742700264,-0.002426637367238982,0.0869439717735242,0.13187309069326147,-0.009069930447662956,0.005569027353265648,ideal,ideal,AMBER_385.jpg
392,0.1953844382117192,2,6,112,0.21109285950660706,-0.04676773709555467,0.06728979988478247,0.027736037969589233,-0.056471144780516624,0.004218182340204853,ideal,ideal,AMBER_392.jpg
401,0.05676677950735513,3,6,125,0.07053664718599369,-0.05389614527424177,0.09677598584197887,0.00429211250351121,-0.08483097764352958,0.007412840528604255,ideal,ideal,AMBER_401.jpg
409,0.2042979244663608,4,12,106,0.10579839111051115,0.01994952548799726,0.05785030989248096,0.0719596117578476,-0.003532374209801977,0.008127474495836395,sledgehammer,ideal,AMBER_409.jpg
413,0.3362819289666624,2,17,116,0.2199215590953827,0.03933709041045992,0.07086786949481187,0.08093386888504028,0.02236244770938356,0.007637020549793174,sledgehammer,sledgehammer,AMBER_413.jpg
417,0.08544379571028457,2,24,113,0.05944322049617767,0.005468506154670649,0.024055985453842944,0.007905632257461548,-0.007029932578006992,-0.0007259693177301174,sledgehammer,ideal,AMBER_417.jpg
422,0.413854187149177,4,20,120,0.2691219300031662,0.025289348326714388,0.08547499250369128,0.12383783981204033,-0.0020076691323424713,0.011419357057055398,sledgehammer,ideal,AMBER_422.jpg
432,0.8574647586792707,2,6,125,0.27416712045669556,0.3547988058999181,0.08538994086171038,0.01937645673751831,0.1756860453945895,0.00858767067304656,sledgehammer,sledgehammer,AMBER_432.jpg
